عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
زمین تجاری مسکونی .لاهیجان.,فروش,گلستان,,,,"‏۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳,۰۸۶,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۱:۳۱,https://divar.ir/v/ga2JOI4n
اجاره 500متر زمین تجاری با بنای ۲۰۰ متری,رهن و اجاره,گلستان,۸۰۰,۱۴۰۵,بدون اتاق,,,,۱۷ مرداد ۱۴۰۵، ۱۱:۳۱,https://divar.ir/v/ga2JeAI0
رهن کامل بدون اجاره,رهن کامل,لیالستان,۷۵,۱۴۰۵,۲,,,۲ از ۲,۱۷ مرداد ۱۴۰۵، ۱۱:۲۶,https://divar.ir/v/ga2F-B4U
فروش زمین مسکونی لاهیجان,فروش,بازکیاگوراب,,,,"‏۲,۹۵۰,۰۰۰,۰۰۰ تومان","‏۹,۰۴۹,۰۰۰ تومان",,۶ مرداد ۱۴۰۵، ۲۳:۲۲,https://divar.ir/v/gaphwfIT
فروش فوری پیش فروش در لاهیجان,فروش,فیاض,۹۵,۱۴۰۵,۲,"‏۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸۴,۲۱۰,۰۰۰ تومان",۲ از ۴,۱۷ مرداد ۱۴۰۵، ۱۱:۱۷,https://divar.ir/v/ga29tGb7
رهن طبقه دوم ۶۵متری طالقانی,رهن کامل,طالقانی,۶۵,۱۳۹۸,۱,,,,۱۷ مرداد ۱۴۰۵، ۱۱:۰۴,https://divar.ir/v/ga2tta30
اجاره مغازه نبش خیابان فردوسی,رهن و اجاره,کوی خزر,۱۵,۱۴۰۰,بدون اتاق,,,,۱۷ مرداد ۱۴۰۵، ۱۰:۵۶,https://divar.ir/v/ga2ldU86
فروش واحد کلیدنخورده براصلی خیابان هدایت,فروش,شهید آوینی,۱۱۰,۱۴۰۵,۲,"‏۱۲,۶۵۰,۰۰۰,۰۰۰ تومان","‏۱۱۵,۰۰۰,۰۰۰ تومان",۲ از ۶,۱۵ مرداد ۱۴۰۵، ۱۲:۵۸,https://divar.ir/v/ga0N1gB0
زمین باغی ۱۵۶ متر روستایی بر آسفالت,فروش,گلستان,,,,"‏۲۵۰,۰۰۰,۰۰۰ تومان","‏۱,۶۰۲,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۰:۲۲,https://divar.ir/v/ga2B9ed3
تک واحدی ۱۰۰متری نوساز کلیدنخورده خوش قیمت,فروش,مهرگان,۱۰۰,۱۴۰۵,۲,"‏۱۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۴۰,۰۰۰,۰۰۰ تومان",۲ از ۴,۱۱ مرداد ۱۴۰۵، ۱۸:۵۵,https://divar.ir/v/gavFWOIS
خانه ویلایی گلستان کاسبی,فروش,گلستان,۸۰,۱۳۸۰,۱,"‏۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۷,۳۰۷,۰۰۰ تومان",,۱۹ خرداد ۱۴۰۵، ۱۱:۱۷,https://divar.ir/v/gam0GfnL
فروش واحد ویو دار _گلستان فرد,فروش,گلستان,۱۲۳,۱۴۰۴,۲,"‏۱۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۲۶,۰۱۶,۰۰۰ تومان",۴,۱۱ مرداد ۱۴۰۵، ۱۰:۲۹,https://divar.ir/v/gaup-oxz
واحد ۱۲۰و ۱۱۰متری نوساز لوکیشن عالی  ویوی بینظیر,فروش,کوی استادان,۱۲۰,۱۴۰۵,۲,"‏۱۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۰,۰۰۰,۰۰۰ تومان",۱ از ۶,۱۱ مرداد ۱۴۰۵، ۱۲:۴۴,https://divar.ir/v/gavpwQLf
خانه ویلایی در بهترین منطقه با دسترسی به امکانات,فروش,کاروانسرابر,۱۰۰,۱۳۹۰,۱,"‏۶,۶۰۰,۰۰۰,۰۰۰ تومان","‏۶۶,۰۰۰,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۰:۰۴,https://divar.ir/v/ga2tM-Ka
با ۱۱_۷۰۰ در خیابان کارگر لاهیجان صاحبخانه شو,فروش,رجایی,۸۴,۱۳۸۸,۲,"‏۱۱,۷۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۹,۲۸۵,۰۰۰ تومان",۲ از ۳,۱۳ مرداد ۱۴۰۵، ۲۰:۱۲,https://divar.ir/v/gayZRU8Z
فروش ویلای۱۲۴۰متری سندتک برگ لاهیجان سیاهکل,فروش,آهندان,۴۵۰,۱۳۹۵,۴,"‏۲۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۱,۷۷۴,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۰۹:۲۸,https://divar.ir/v/ga2VMSp1
زمین فروشی لاهیجان,فروش,لیل,,,,"‏۵۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۶,۲۴۶,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۰۹:۱۵,https://divar.ir/v/ga2B8DFk
لاهیجان- فروش زمین مسکونی 30000 متری,فروش,رجایی,,,,"‏۷۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲,۵۶۶,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۰۸:۵۷,https://divar.ir/v/ga21L2g6
زمین ۲۵۰ متری مسکونی با نامه بنیاد مسکن,فروش,لیالستان,,,,"‏۲,۹۰۰,۰۰۰,۰۰۰ تومان","‏۱۱,۶۰۰,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۰۱:۳۷,https://divar.ir/v/ga2d1FfK
مستقل_بام تهرانی اختصاصی_راه پله با فضای بالابر,فروش,شهرک سلمان فارسی,۸۵,۱۳۹۰,۲,"‏۹,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۵,۸۸۲,۰۰۰ تومان",۲ از ۲,۱۷ مرداد ۱۴۰۵، ۰۰:۵۷,https://divar.ir/v/ga210d2J
فروش زمین در روستای کوشال لاهیجان,فروش,لیالستان,,,,"‏۵,۷۷۵,۰۰۰,۰۰۰ تومان","‏۱۶,۵۰۰,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۰۰:۰۶,https://divar.ir/v/ga2FEztD
فروش سوئیت در لیالستان,فروش,لیالستان,۵۵,۱۳۹۷,۱,"‏۴,۲۰۰,۰۰۰,۰۰۰ تومان","‏۷۶,۳۶۳,۰۰۰ تومان",همکف,۱۶ مرداد ۱۴۰۵، ۲۳:۵۹,https://divar.ir/v/ga29D2We
اجاره  ۸۳ متری خوش‌نقشه در خیابان تربیت معلم،,رهن و اجاره,شهرک جانبازان,۸۳,۱۳۹۸,۲,,,۳,۱۶ مرداد ۱۴۰۵، ۲۳:۲۸,https://divar.ir/v/ga2hTvrd
اجاره زمین برای زنبور,رهن و اجاره,کوی خزر,۱۰۰۰۰۰۰,۱۳۸۵,۱,,,,۱۶ مرداد ۱۴۰۵، ۲۲:۲۷,https://divar.ir/v/ga2pyjA_
۹۸ متر بر خیابان جمهوری لاهیجان,فروش,جمهوری,۹۸,۱۳۹۶,۲,"‏۹,۹۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۱,۰۲۰,۰۰۰ تومان",۱,۲۱ تیر ۱۴۰۵، ۱۹:۲۷,https://divar.ir/v/gaThrutc
۲۰۰ متری ویلایی ۷۰ متر بنا,فروش,بازکیاگوراب,۷۰,۱۴۰۰,۲,"‏۶,۱۰۰,۰۰۰,۰۰۰ تومان","‏۳۰,۵۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۲:۱۰,https://divar.ir/v/ga2ZifTO
یک  ویلا,فروش,لیل,۷۰,۱۳۹۸,۲,"‏۲,۵۰۰,۰۰۰,۰۰۰ تومان","‏۳۵,۷۱۴,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۲:۰۴,https://divar.ir/v/ga2NiZtA
واحد ۱۶۰ متری نزدیک استخر نیما,فروش,شیشه گران,۱۶۰,۱۳۹۰,۳,"‏۲۲,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۴۰,۶۲۵,۰۰۰ تومان",۳ از ۵,۱۶ مرداد ۱۴۰۵، ۲۱:۳۱,https://divar.ir/v/ga21hTFp
ویلا ۱۰۰۰ متری روستایی جنگلی,فروش,آهندان,۱۰۰,۱۳۷۱,۲,"‏۲۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۹,۸۸۰,۰۰۰ تومان",,۱۹ خرداد ۱۴۰۵، ۱۰:۵۶,https://divar.ir/v/gan8b0zH
لاهیجان  زمین 6228 متری,فروش,آهندان,,,,"‏۲۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳,۳۷۱,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۱:۰۲,https://divar.ir/v/ga2ZhjFI
زمین سیصد متری مسکونی کتشال ویو ابدی,فروش,لیل,,,,"‏۵,۴۰۰,۰۰۰,۰۰۰ تومان","‏۱۸,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۱:۰۱,https://divar.ir/v/ga2ZhK0r
زمین ۳۰۰ متری بر اصلی کتشال علیسرود,فروش,لیل,,,,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۰:۵۴,https://divar.ir/v/ga2Rhf5o
فروش زمین مسکونی,فروش,مهرگان,,,,"‏۲,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۰:۴۲,https://divar.ir/v/ga2Fh4kS
زمین دویست و بیست و پنج متری کتشال ویو ابدی,فروش,لیل,,,,"‏۳,۳۷۵,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۰:۳۰,https://divar.ir/v/ga25w7Rc
فروش زمین مسکونی با مجوز بنیاد مسکن,فروش,لفمجان,,,,"‏۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۷,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۰:۲۵,https://divar.ir/v/ga21gebx
زمین پانصد متری مسکونی کتشال ویو ابدی,فروش,لیل,,,,"‏۱۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۳۵,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۲۰:۱۹,https://divar.ir/v/ga2xQE25
رهن واجاره,رهن و اجاره,آهندان,۷۰,۱۳۹۵,۱,,,,۱۶ مرداد ۱۴۰۵، ۲۰:۱۰,https://divar.ir/v/ga2pgh3R
رهن واجاره آپارتمان دوخوابه مهرگان,رهن و اجاره,مهرگان,۸۵,۱۳۹۸,۲,,,۳,۱۶ مرداد ۱۴۰۵، ۲۰:۰۳,https://divar.ir/v/ga2hA0Ow
۱۶ واحد لوکس ساحلی_ ۱۶ سند تک‌ برگ _ ویو ابدی دریا,فروش,شیخ زاهد,۲۶۰۰,۱۴۰۳,۲,"‏۳۰۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۵,۳۸۴,۰۰۰ تومان",۴ از ۴,۱۶ مرداد ۱۴۰۵، ۱۹:۵۴,https://divar.ir/v/ga2ZAnIC
۴۲متر اداری,فروش,خمیر کلایه,۴۲,۱۳۹۰,۱,"‏۳,۳۶۰,۰۰۰,۰۰۰ تومان","‏۸۰,۰۰۰,۰۰۰ تومان",۲,۱۹ اردیبهشت ۱۴۰۵، ۱۷:۱۵,https://divar.ir/v/Qa_rTCaq
واحد نوساز و مستقل در شهر دیلمان قابل معاوضه,فروش,کوی زمانی,۷۰,۱۴۰۵,۱,"‏۳,۷۵۰,۰۰۰,۰۰۰ تومان","‏۳۷,۵۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۹:۲۰,https://divar.ir/v/ga15PklL
۱۶۸مترزمین_۶۰متر بنا_گلستان۴۵_مالک هستم,فروش,گلستان,,,,"‏۱۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۵,۴۷۶,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۸:۲۴,https://divar.ir/v/ga1F_cS2
زمین مسکونی  سند دار,فروش,یحی آباد,,,,"‏۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸,۴۰۳,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۸:۰۳,https://divar.ir/v/ga1xusp3
فول امکانات_لوکیشن عالی_,رهن کامل,کوی خزر,۱۲۰,۱۴۰۰,۳,,,۲,۱۶ مرداد ۱۴۰۵، ۱۷:۴۹,https://divar.ir/v/ga1luYkU
مجزا.اپارتمان فروشی,فروش,شهید آوینی,۹۷,۱۳۹۲,۲,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۸,۲۴۷,۰۰۰ تومان",۲,۱۶ مرداد ۱۴۰۵، ۱۷:۱۸,https://divar.ir/v/ga154NX_
باغ چایی متری 6000000,فروش,آهندان,,,بدون اتاق,"‏۲,۴۰۰,۰۰۰,۰۰۰ تومان","‏۶,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۷:۱۳,https://divar.ir/v/ga1FeCHG
۴۱ متر مستقل با پارکینگ خشک و حیاط خلوت _ وحدت,فروش,بوجایه,۴۱,۱۳۹۱,۱,"‏۳,۹۰۰,۰۰۰,۰۰۰ تومان","‏۹۵,۱۲۱,۰۰۰ تومان",همکف از ۲,۲۳ تیر ۱۴۰۵، ۱۳:۲۵,https://divar.ir/v/gaWdQVYy
ویلا ۲۵۰ متری نوساز با ویو ابدی _ چوشل لاهیجان,فروش,شیشه گران,۱۰۰,۱۴۰۵,۲,"‏۸,۴۰۰,۰۰۰,۰۰۰ تومان","‏۳۳,۶۰۰,۰۰۰ تومان",,۲۴ خرداد ۱۴۰۵، ۱۲:۴۱,https://divar.ir/v/gauAXBfE
فروش ۹۳ متری مفید_ دو نبش_ خیابان خرمشهر,فروش,شقایق,۹۳,۱۳۹۹,۲,"‏۱۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۸۸,۱۷۲,۰۰۰ تومان",۱ از ۵,۱۶ مرداد ۱۴۰۵، ۱۶:۰۶,https://divar.ir/v/ga1FtEQf
ویلا دولبکس 120 مترکلید نخورده لاهیجان بازکیاگوراب,فروش,بازکیاگوراب,۱۲۰,۱۴۰۳,۲,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۵۴,۸۳۸,۰۰۰ تومان",,۱۸ تیر ۱۴۰۵، ۰۰:۵۷,https://divar.ir/v/gaO97_ea
زمین مسکونی,فروش,لفمجان,,,,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۵:۵۳,https://divar.ir/v/ga11843r
زمین به متراژ ۳۲۲,فروش,لیالستان,,,,"‏۷,۷۰۰,۰۰۰,۰۰۰ تومان","‏۲۳,۹۱۳,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۵:۵۲,https://divar.ir/v/ga11s94S
زمین تجاری مسکونی در رودبنه محله لاکمعسر,فروش,انقلاب,,,,"‏۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۴,۳۴۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۵:۱۹,https://divar.ir/v/ga1ZsWD5
فروش زمین مسکونی,فروش,کوی زمانی,,,,"‏۸,۶۰۰,۰۰۰,۰۰۰ تومان","‏۴۸,۳۱۴,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۴:۱۴,https://divar.ir/v/ga1drDqB
800 متر باغ مسکونی با پرداخت شرایطی,فروش,لیالستان,۲,۱۳۹۹,بدون اتاق,"‏۴,۴۰۰,۰۰۰,۰۰۰ تومان","‏۵,۵۰۰,۰۰۰ تومان",,۱۰ تیر ۱۴۰۵، ۱۰:۰۹,https://divar.ir/v/gaEVLeHo
ویلا لوکس تریبلکس 340متری ویوی ابدی کوهستان,فروش,لیل,۳۰۰,۱۴۰۴,۳,"‏۴۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۳,۸۲۳,۰۰۰ تومان",,۲۰ آبان ۱۴۰۴، ۱۹:۳۶,https://divar.ir/v/QaT4l2Ru
فروش باغ ۱۰۰متری,فروش,لیالستان,,,,"‏۷۵۰,۰۰۰,۰۰۰ تومان","‏۷,۵۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۲:۴۱,https://divar.ir/v/ga1FaT3U
فروش واحد ۱۰۸ متری فول امکانات در لاهیجان,فروش,شهرک جانبازان,۱۰۸,۱۴۰۵,۲,"‏۱۲,۲۴۰,۰۰۰,۰۰۰ تومان","‏۱۱۳,۳۳۳,۰۰۰ تومان",۱ از ۳,۱۵ مرداد ۱۴۰۵، ۱۷:۱۹,https://divar.ir/v/ga0B5uu6
۱۸۹۰متر زمین مسکونی لاهیجان ویو فوق ابدی,فروش,لیل,,,,"‏۵۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۸,۵۷۱,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۲:۲۹,https://divar.ir/v/ga155Shh
زمین ممتاز برای فروش,فروش,گلستان,,,,"‏۱۲,۶۰۰,۰۰۰,۰۰۰ تومان","‏۶۰,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۱:۳۱,https://divar.ir/v/ga1BpzMW
دور میدون دانشگاه مناسب ساخت,فروش,کوی استادان,,,,"‏۱۷,۷۰۰,۰۰۰,۰۰۰ تومان","‏۸۰,۰۹۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۱:۱۸,https://divar.ir/v/ga11Im1u
اجاره زمین محصور برای کارگاه و انباری+دفتر کار,رهن و اجاره,گلستان,۵۰۰,۱۴۰۰,۱,,,,۱۶ مرداد ۱۴۰۵، ۱۱:۱۷,https://divar.ir/v/ga11YnY4
رهن و اجاره مغازه,رهن و اجاره,طالقانی,۱۵,۱۳۹۸,بدون اتاق,,,,۱۶ مرداد ۱۴۰۵، ۱۱:۱۱,https://divar.ir/v/ga1tIwEa
اجاره مغازه در خیابان شقایق,رهن و اجاره,کوی استادان,۲۲,۱۳۹۲,بدون اتاق,,,,۲۰ مهر ۱۴۰۴، ۲۲:۰۵,https://divar.ir/v/AarTf2t7
زمین آینده دار  داخل طرح ۲۹۳ متر,فروش,آهندان,,,,"‏۴,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۳۵۸,۰۰۰ تومان",,۷ مرداد ۱۴۰۵، ۰۱:۵۱,https://divar.ir/v/gaptyEIl
اجاره مغازه,رهن و اجاره,آهندان,۲۰,۱۴۰۵,بدون اتاق,,,,۱۶ مرداد ۱۴۰۵، ۱۰:۴۲,https://divar.ir/v/ga1R46Vo
زمین ۸۵۲ متری لاهیجان,فروش,لیالستان,,,,"‏۱۷,۶۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۶۵۷,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۰۸:۳۲,https://divar.ir/v/ga1Z2mhM
پیش فروش واحد های ۶۰و۷۰ متری درگلستان ۲۳,فروش,گلستان,,,,,,,۱۶ مرداد ۱۴۰۵، ۰۴:۳۳,https://divar.ir/v/ga15SX5E
فروش زمین ۳۸۳ متری داخل طرح بصورت نقد اقساط,فروش,کوی آزادگان,,,,"‏۲,۹۰۰,۰۰۰,۰۰۰ تومان","‏۷,۵۷۱,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۰۲:۵۵,https://divar.ir/v/ga1dxo6C
350متر زمین باغی در یکی از روستاهای خوش آب هوا گمل,فروش,لیل,,,,"‏۴۵۰,۰۰۰,۰۰۰ تومان","‏۱,۲۸۵,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۰۱:۰۴,https://divar.ir/v/ga0x_wsD
خانه ویلایی,فروش,بازکیاگوراب,۷۵,۱۳۸۰,۲,"‏۱۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۶,۷۲۸,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۲۳:۰۱,https://divar.ir/v/ga0B-8KK
زمین مسکونی در گلرودبار,فروش,بازکیاگوراب,,,,"‏۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸,۷۵۰,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۲۲:۵۲,https://divar.ir/v/ga05d8TO
فروش یک واحد آپارتمان ۱۰۰ متری,فروش,کوی آزادگان,۱۰۰,۱۳۹۵,۲,"‏۱۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۵,۰۰۰,۰۰۰ تومان",۲ از ۲,۱۵ مرداد ۱۴۰۵، ۲۱:۵۵,https://divar.ir/v/ga0Ftc90
خونه ویلایی تو روستا,فروش,آهندان,۱۲۵,۱۳۸۹,۲,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۶,۰۰۰,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۲۱:۲۷,https://divar.ir/v/ga0psob2
رهن و اجاره مغازه,رهن و اجاره,آهندان,۲۷,۱۴۰۵,بدون اتاق,,,,۱۵ مرداد ۱۴۰۵، ۲۱:۱۲,https://divar.ir/v/ga0dMQrT
زمین مسکونی باغی,فروش,آهندان,,,,"‏۲,۷۰۰,۰۰۰,۰۰۰ تومان","‏۷,۵۴۱,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۲۱:۰۸,https://divar.ir/v/ga0ZsTKz
فروش پنت هوس ۱۲۰ متری در میدان چای ۵.۳۰۰ میلیارد,فروش,حاجی آباد,۱۲۰,۱۴۰۳,۱,"‏۵,۳۰۰,۰۰۰,۰۰۰ تومان","‏۴۴,۱۶۶,۰۰۰ تومان",۳ از ۳,۱۵ مرداد ۱۴۰۵، ۱۹:۱۹,https://divar.ir/v/ga0xq24k
فروش فوری زمین باغی در بازارده لنگرود,فروش,لیالستان,,,,"‏۷۳۰,۰۰۰,۰۰۰ تومان","‏۳,۶۵۰,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۹:۰۲,https://divar.ir/v/ga0h6vKn
زمین مسکونی کوهپایه,فروش,لیل,,,,"‏۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۵,۹۲۵,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۸:۴۲,https://divar.ir/v/ga0RaHIF
۳۰۲ متر ویلایی مرکز لاهیجان_ خ فیاض _ کوچه بن بست,فروش,فیاض,۱۲۸,قبل از ۱۳۷۰,۲,"‏۳۳,۲۲۰,۰۰۰,۰۰۰ تومان","‏۱۱۰,۰۰۰,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۸:۴۰,https://divar.ir/v/ga0NKlgm
ویلا ۲۵۰ متری گیلان با بنای ۱۰۰ متری,فروش,گلستان,۱۰۰,۱۴۰۰,۲,"‏۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۳۰,۰۰۰,۰۰۰ تومان",,۱۴ تیر ۱۴۰۵، ۲۲:۵۲,https://divar.ir/v/gaK56yZp
فروش آپارتمان ۱۰۳ متری خوش‌نقشه و دلباز,فروش,یحی آباد,۱۰۳,۱۳۹۴,۲,"‏۷,۷۰۰,۰۰۰,۰۰۰ تومان","‏۷۴,۷۵۷,۰۰۰ تومان",۳ از ۳,۱۵ مرداد ۱۴۰۵، ۱۷:۲۸,https://divar.ir/v/ga0JJ2vX
خانه مدرن,فروش,کوی خزر,۱۱۰,۱۴۰۵,۱,"‏۶,۶۰۰,۰۰۰,۰۰۰ تومان","‏۴۲,۵۸۰,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۷:۱۲,https://divar.ir/v/ga054-mr
۳۴۳ متر زمین بر اصلی در موقعیت کوهپایه ای بنگبر,فروش,لیل,,,,"‏۵,۱۴۵,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۶:۵۳,https://divar.ir/v/ga0lYSSK
لاهیجان فروش آپارتمان 65 متری در کارگر,فروش,رجایی,۶۵,۱۳۸۸,۱,"‏۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۷,۶۹۲,۰۰۰ تومان",۲ از ۳,۱۵ مرداد ۱۴۰۵، ۱۶:۵۰,https://divar.ir/v/ga0lo44r
آپارتمان_88متری_خرمشهر,فروش,شهید آوینی,۸۸,۱۴۰۳,۲,"‏۱۰,۷۵۰,۰۰۰,۰۰۰ تومان","‏۱۲۲,۱۵۹,۰۰۰ تومان",۲,۱۵ مرداد ۱۴۰۵، ۱۶:۴۴,https://divar.ir/v/ga0hoQbf
لاهیجان فروش آپارتمان 80 متری در نیما,فروش,رجایی,۸۰,۱۳۸۶,۲,"‏۱۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۰,۰۰۰,۰۰۰ تومان",۲ از ۳,۱۵ مرداد ۱۴۰۵، ۱۶:۴۳,https://divar.ir/v/gayt8H0M
زمین مسکونی سند دار یاسر,فروش,لیالستان,,,,"‏۶,۴۰۰,۰۰۰,۰۰۰ تومان","‏۳۰,۹۱۷,۰۰۰ تومان",,۹ مرداد ۱۴۰۵، ۱۹:۰۴,https://divar.ir/v/gasBcVhx
زمین مسکونی شمال لاهیجان,فروش,لیالستان,,,,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۲۳۸,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۵:۵۴,https://divar.ir/v/ga0xH69A
۶۰ متر نوساز  رزمندگان,فروش,کوی زمانی,۶۰,۱۴۰۵,۲,"‏۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸۳,۳۳۳,۰۰۰ تومان",همکف,۱۵ مرداد ۱۴۰۵، ۱۳:۱۹,https://divar.ir/v/ga0hVFol
فروش زمین در بافت مسکونی با  استعلامات کامل,فروش,بازکیاگوراب,,,,"‏۹,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶,۹۲۳,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۲:۵۹,https://divar.ir/v/ga0Nl4Zm
آپارتمان 125 متری ویو شیطان کوه بر خیابان اصلی,فروش,یوسف آباد,۱۲۵,۱۴۰۵,۲,"‏۱۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۸,۰۰۰,۰۰۰ تومان",۳,۱۵ مرداد ۱۴۰۵، ۱۲:۵۷,https://divar.ir/v/ga0N1ZNX
ویلایی دوبلکس با ویوی عالی,فروش,لیالستان,۹۵,۱۳۹۰,۲,"‏۹,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۶,۰۰۰,۰۰۰ تومان",,۱۵ مرداد ۱۴۰۵، ۱۲:۴۸,https://divar.ir/v/ga0FFDrr
فروش فوری اپارتمان,فروش,فیاض,۸۵,۱۳۹۶,۲,"‏۹,۴۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۰,۵۸۸,۰۰۰ تومان",۲ از ۴,۱۱ مرداد ۱۴۰۵، ۰۷:۰۶,https://divar.ir/v/gautLE3C
فروش واحد ۱۳۶ متری گلستان زوج,فروش,گلستان,۱۳۶,۱۳۹۵,۳,"‏۱۴,۹۵۰,۰۰۰,۰۰۰ تومان","‏۱۰۹,۹۲۶,۰۰۰ تومان",۱ از ۳,۱۵ مرداد ۱۴۰۵، ۱۲:۱۶,https://divar.ir/v/ga0lUala
