عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
فروش زمین تجاری 220متری در خیابان 22آبان,فروش,قیام,,,,"‏۳۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۶۸,۱۸۱,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۰۹,https://divar.ir/v/gaOep65E
مغازه بر بلوار امام رضا لاهیجان,فروش,گلستان,۲۴,۱۳۸۳,بدون اتاق,"‏۶,۷۵۰,۰۰۰,۰۰۰ تومان","‏۲۸۱,۲۵۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۰۸,https://divar.ir/v/gaOeZyyh
۷۶متر سوستان کوجه شهید بابایی لاهیجان,فروش,لیل,۷۶,۱۳۹۶,۲,"‏۷,۲۰۰,۰۰۰,۰۰۰ تومان","‏۹۴,۷۳۶,۰۰۰ تومان",۱ از ۲,۴ شهریور ۱۴۰۵، ۱۰:۵۹,https://divar.ir/v/gaOWJi6h
خانه ویلایی,فروش,بازکیاگوراب,۱۲۰,۱۴۰۲,۲,"‏۱۰,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۲۹۷,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۰:۵۱,https://divar.ir/v/gaOOJ688
رهن آپارتمان ۸۶ متری یک واحد یک طبقه دربست,رهن و اجاره,لیل,۸۶,۱۴۰۴,۲,,,۱,۲۵ مرداد ۱۴۰۵، ۲۰:۳۱,https://divar.ir/v/gaByOxmf
ویلا روستایی,فروش,لفمجان,۹۰,۱۳۸۵,۲,"‏۴,۷۵۰,۰۰۰,۰۰۰ تومان","‏۹,۵۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۰:۴۴,https://divar.ir/v/gaOG5T1Z
مرغداری,فروش,آهندان,,,۲,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۵,۰۰۰,۰۰۰ تومان",,۲۵ تیر ۱۴۰۵، ۱۱:۳۱,https://divar.ir/v/gaY9obwp
رهن واجاره تک واحدی لوکس,رهن و اجاره,شقایق,۱۳۲,۱۴۰۴,۳,,,۳ از ۵,۲۱ مرداد ۱۴۰۵، ۲۲:۵۶,https://divar.ir/v/ga8hcyW5
فروش زمین مسکونی,فروش,لیل,,,,"‏۱۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۲,۵۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۰:۴۰,https://divar.ir/v/gaOGpWjt
۶۵متر سوئیت آزادگان,فروش,کوی خزر,۶۵,۱۳۹۰,۲,"‏۶,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۰,۰۰۰,۰۰۰ تومان",همکف,۲۸ مرداد ۱۴۰۵، ۱۹:۲۴,https://divar.ir/v/gaFGtdpA
اجاره یک واحد آپارتمان مستقل به روز مبله,رهن و اجاره,شهید آوینی,۷۰,۱۳۹۸,۲,,,۱,۴ شهریور ۱۴۰۵، ۱۰:۳۹,https://divar.ir/v/gaOCpsCI
فرصت عالی خرید زمین ۲۰۰ متری,فروش,شهرک فرهنگیان,,,,"‏۱۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵۰,۰۰۰,۰۰۰ تومان",,۸ تیر ۱۴۰۵، ۱۶:۱۴,https://divar.ir/v/gaAJikrL
فروش زمین 200 متری روستایی با کاربری مسکونی,فروش,بازکیاگوراب,,,,"‏۱,۸۰۰,۰۰۰,۰۰۰ تومان","‏۹,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۰:۳۲,https://divar.ir/v/gaO-IUBF
ویلای 300متری نیمکاره کتشال,فروش,لیل,۲۵۰,۱۴۰۴,۳,"‏۱۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵۰,۰۰۰,۰۰۰ تومان",,۱۱ مرداد ۱۴۰۵، ۱۷:۱۵,https://divar.ir/v/gavlEYN0
اجاره واحد 86 متری در مهرگان,رهن کامل,مهرگان,۸۶,۱۳۹۷,۲,,,۴ از ۴,۴ شهریور ۱۴۰۵، ۱۰:۲۱,https://divar.ir/v/gaOyo2qn
زمین سند دار در لاهیجان,فروش,لیالستان,,,,"‏۱۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۵۱,۶۶۶,۰۰۰ تومان",,۲۵ مرداد ۱۴۰۵، ۱۴:۴۶,https://divar.ir/v/gaBy5BTq
۳۰۰ متر زمین در جاده زمیدان با پروانه ساخت,فروش,لیل,,,,"‏۷,۸۰۰,۰۰۰,۰۰۰ تومان","‏۲۶,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۰:۰۷,https://divar.ir/v/gaOmod02
زمین مسکونی با پروانه ساخت کتشال بالا,فروش,لیل,,,,"‏۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۰,۰۰۰,۰۰۰ تومان",,۱۳ مرداد ۱۴۰۵، ۱۴:۴۱,https://divar.ir/v/gaxh8fA1
فروش آپارتمان ۸۰‌متری گلستان ۴۳_۱,فروش,گلستان,۸۰,۱۴۰۰,۲,"‏۹,۳۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۶,۲۵۰,۰۰۰ تومان",۳ از ۴,۲۶ مرداد ۱۴۰۵، ۰۹:۲۸,https://divar.ir/v/gaCKqlun
زمین باقی خارج طرح جهت سرمایه گذاری,فروش,آهندان,,,بدون اتاق,"‏۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۳,۰۱۷,۰۰۰ تومان",,۳ شهریور ۱۴۰۵، ۲۱:۰۷,https://divar.ir/v/gaNKdpMQ
فروش زمین شالی,فروش,لیالستان,,,بدون اتاق,"‏۱,۵۵۰,۰۰۰,۰۰۰ تومان","‏۵۱۶,۰۰۰ تومان",,۳ شهریور ۱۴۰۵، ۲۰:۵۴,https://divar.ir/v/gaN-Myt7
